Area (m²),Elevation (m),Volume (m³)
151428030.66602626,1026.0,34361931039.38697
151861425.14417747,1027.0,34514009586.66677
152295669.41542307,1028.0,34666528751.66602
152742660.58308488,1029.0,34819496182.52258
153192201.13002995,1030.0,34972900407.02967
153616247.88414258,1031.0,35126712957.11862
154008852.29376188,1032.0,35280926184.65159
154417602.77217507,1033.0,35435549437.352615
154828902.6298715,1034.0,35590590788.25609
155253799.17707855,1035.0,35746068083.017
155700790.34474036,1036.0,35901987270.187004
156137583.9952692,1037.0,36058337302.45588
156562480.54247627,1038.0,36215105857.82375
156974630.1932671,1039.0,36372290386.91134
157394427.98190767,1040.0,36529917658.20112
157860114.5976466,1041.0,36687979598.65869
158263766.3174933,1042.0,36846446465.52575
158669967.41662323,1043.0,37005338653.83656
159114409.2050018,1044.0,37164661262.34969
159530807.8212647,1045.0,37324403668.65147
159954004.78228295,1046.0,37484569696.81081
160378051.53639558,1047.0,37645148299.51749
160779153.87695903,1048.0,37806156047.73684
161236342.5617538,1049.0,37967602289.19292
161656140.35039437,1050.0,38129472152.50655
162083586.27688468,1051.0,38291772860.91906
162517830.54813027,1052.0,38454498465.87878
162933379.37129876,1053.0,38617641744.144394
163353177.15993932,1054.0,38781209069.16412
163781472.87952402,1055.0,38945201290.731064
164202970.2543534,1056.0,39109625632.08651
164645712.45654315,1057.0,39274487191.98904
165077407.3485055,1058.0,39439789369.611015
165526947.89545056,1059.0,39605530465.36626
165955243.61503527,1060.0,39771699856.84109
166383539.33461997,1061.0,39938289471.00111
166795688.9854108,1062.0,40105301007.432495
167227383.87737316,1063.0,40272745938.34204
167662477.94171318,1064.0,40440621289.4539
168088224.28201464,1065.0,40608917713.04405
168504622.89827755,1066.0,40777631385.04356
168922721.1007293,1067.0,40946768254.004074
169351016.820314,1068.0,41116331294.20145
169775063.57442662,1069.0,41286318381.15293
170199110.32853925,1070.0,41456728665.06543
170621457.49646306,1071.0,41627575742.628456
171072697.62959695,1072.0,41798871086.04879
171517989.21106994,1073.0,41970612570.84369
171964980.37873176,1074.0,42142809969.63374
172429817.20137626,1075.0,42315452660.00527
172855563.5416777,1076.0,42488505375.54485
173249867.53748587,1077.0,42661946021.632034
173631424.6368778,1078.0,42835790744.33561
174058020.7702737,1079.0,43010068861.517334
174498213.59318018,1080.0,43184792695.17708
174949453.72631407,1081.0,43359955022.07354
175375200.06661552,1082.0,43535543095.3103
175800946.40691698,1083.0,43711567537.30105
